id,date,compound,neg,neu,pos
https://openalex.org/W4389442037,2023,0.5106,0.044,0.9,0.056
https://openalex.org/W4389456308,2023,0.9837,0.037,0.8,0.163
https://openalex.org/W4389485505,2023,0.9998,0.06,0.804,0.135
https://openalex.org/W4389526437,2023,0.9872,0.027,0.911,0.062
https://openalex.org/W4389547770,2023,0.997,0.0,0.771,0.229
https://openalex.org/W4389572814,2023,0.9001,0.011,0.907,0.082
https://openalex.org/W4389574444,2023,0.9735,0.02,0.891,0.089
https://openalex.org/W4389607454,2023,-0.743,0.121,0.774,0.104
https://openalex.org/W4389607808,2023,-0.6808,0.063,0.894,0.043
https://openalex.org/W4389609169,2023,0.9999,0.028,0.841,0.132
https://openalex.org/W4389722003,2023,0.9406,0.0,0.929,0.071
https://openalex.org/W4389751770,2023,0.9702,0.0,0.804,0.196
https://openalex.org/W4389935339,2023,0.9986,0.018,0.831,0.151
https://openalex.org/W4389955092,2023,0.1145,0.041,0.895,0.064
https://openalex.org/W4389974972,2023,0.9728,0.011,0.834,0.154
https://openalex.org/W4390008763,2023,0.6652,0.09,0.818,0.092
https://openalex.org/W4390047035,2023,0.9798,0.0,0.868,0.132
https://openalex.org/W4390117491,2023,0.9889,0.038,0.828,0.134
https://openalex.org/W4390273339,2023,0.9871,0.01,0.806,0.184
https://openalex.org/W4390449274,2023,0.9393,0.0,0.844,0.156
https://openalex.org/W4390470604,2023,0.9565,0.0,0.91,0.09
https://openalex.org/W4390799955,2023,0.9978,0.042,0.893,0.064
https://openalex.org/W4391166286,2023,0.9822,0.018,0.87,0.113
https://openalex.org/W53024446,2023,0.9955,0.027,0.862,0.111
https://openalex.org/W76672702,2023,0.9967,0.036,0.751,0.213
https://openalex.org/W114678701,2023,0.9287,0.006,0.945,0.049
https://openalex.org/W1651678632,2023,0.9862,0.014,0.942,0.044
https://openalex.org/W1823913999,2023,0.946,0.015,0.95,0.035
https://openalex.org/W1996903257,2023,0.875,0.047,0.834,0.118
https://openalex.org/W2295727272,2023,-0.7893,0.083,0.85,0.067
https://openalex.org/W2550248211,2023,0.9371,0.0,0.905,0.095
https://openalex.org/W2799114856,2023,0.1189,0.053,0.881,0.065
https://openalex.org/W2889420809,2023,-0.9339,0.119,0.819,0.062
https://openalex.org/W3043479128,2023,0.9843,0.031,0.836,0.133
https://openalex.org/W33082861,2023,0.96,0.117,0.732,0.151
https://openalex.org/W4210619544,2023,0.8537,0.068,0.817,0.114
https://openalex.org/W4214664299,2023,0.9274,0.05,0.852,0.098
https://openalex.org/W4293388160,2023,0.9914,0.022,0.817,0.162
https://openalex.org/W4293744033,2023,-0.34,0.028,0.957,0.016
https://openalex.org/W4295174020,2023,0.9997,0.015,0.902,0.083
https://openalex.org/W4296670226,2023,0.9531,0.089,0.755,0.155
https://openalex.org/W4301727683,2023,-0.5859,0.07,0.877,0.053
https://openalex.org/W4303699724,2023,0.9657,0.051,0.823,0.126
https://openalex.org/W4304607700,2023,-0.8402,0.087,0.858,0.055
https://openalex.org/W4304759174,2023,0.9001,0.01,0.933,0.057
https://openalex.org/W4306958174,2023,0.8834,0.019,0.872,0.109
https://openalex.org/W4307122873,2023,-0.9556,0.114,0.823,0.063
https://openalex.org/W4307423965,2023,-0.1728,0.092,0.827,0.082
https://openalex.org/W4308419637,2023,0.9999,0.027,0.87,0.103
https://openalex.org/W4308624931,2023,-0.9974,0.098,0.825,0.078
https://openalex.org/W4309338056,2023,0.9799,0.042,0.825,0.133
https://openalex.org/W4310073526,2023,0.9633,0.017,0.851,0.132
https://openalex.org/W4310350691,2023,0.886,0.061,0.827,0.112
https://openalex.org/W4310605707,2023,0.8591,0.0,0.933,0.067
https://openalex.org/W4310730868,2023,0.9513,0.055,0.808,0.137
https://openalex.org/W4311193829,2023,0.9274,0.013,0.894,0.093
https://openalex.org/W4311271643,2023,-0.7144,0.051,0.94,0.009
https://openalex.org/W4311289426,2023,0.8807,0.095,0.75,0.155
https://openalex.org/W4311419397,2023,0.9776,0.045,0.81,0.145
https://openalex.org/W4311590349,2023,-0.7579,0.123,0.786,0.092
https://openalex.org/W4311756733,2023,0.5719,0.072,0.835,0.093
https://openalex.org/W4311773322,2023,0.9196,0.065,0.838,0.097
https://openalex.org/W4312069737,2023,0.9929,0.074,0.799,0.126
https://openalex.org/W4313373074,2023,-0.0516,0.05,0.904,0.046
https://openalex.org/W4313396850,2023,0.2589,0.041,0.909,0.05
https://openalex.org/W4313446524,2023,0.9969,0.044,0.85,0.106
https://openalex.org/W4313465794,2023,0.9423,0.011,0.906,0.083
https://openalex.org/W4313471210,2023,0.923,0.057,0.824,0.119
https://openalex.org/W4313527485,2023,0.9991,0.046,0.872,0.081
https://openalex.org/W4313537123,2023,0.9528,0.023,0.87,0.107
https://openalex.org/W4313547791,2023,0.9118,0.012,0.911,0.077
https://openalex.org/W4313558578,2023,0.9517,0.012,0.875,0.114
https://openalex.org/W4313559929,2023,0.7964,0.014,0.913,0.073
https://openalex.org/W4313574777,2023,0.9979,0.073,0.831,0.095
https://openalex.org/W4313584919,2023,0.9896,0.007,0.867,0.126
https://openalex.org/W4313594040,2023,0.9652,0.007,0.904,0.089
https://openalex.org/W4313597498,2023,0.7783,0.025,0.907,0.068
https://openalex.org/W4313644199,2023,0.9274,0.016,0.849,0.135
https://openalex.org/W4313645847,2023,0.4218,0.089,0.792,0.119
https://openalex.org/W4313678793,2023,0.7655,0.034,0.88,0.086
https://openalex.org/W4313815835,2023,0.9984,0.016,0.879,0.105
https://openalex.org/W4313824645,2023,0.9769,0.029,0.824,0.147
https://openalex.org/W4313827162,2023,0.9982,0.023,0.896,0.08
https://openalex.org/W4313856953,2023,0.9911,0.025,0.822,0.153
https://openalex.org/W4313887646,2023,0.7351,0.034,0.86,0.106
https://openalex.org/W4315471382,2023,0.8519,0.043,0.878,0.08
https://openalex.org/W4315476884,2023,0.9545,0.017,0.869,0.114
https://openalex.org/W4315481340,2023,0.9753,0.016,0.867,0.117
https://openalex.org/W4315483388,2023,0.6187,0.031,0.896,0.073
https://openalex.org/W4315645577,2023,0.0,0.017,0.959,0.024
https://openalex.org/W4315649705,2023,0.54,0.011,0.954,0.036
https://openalex.org/W4315651031,2023,0.7964,0.0,0.96,0.04
https://openalex.org/W4315651643,2023,0.9635,0.05,0.853,0.098
https://openalex.org/W4315782624,2023,0.8658,0.079,0.801,0.12
https://openalex.org/W4315865159,2023,-0.1531,0.038,0.931,0.031
https://openalex.org/W4315866002,2023,-0.0772,0.065,0.871,0.064
https://openalex.org/W4315929278,2023,-0.6351,0.108,0.824,0.068
https://openalex.org/W4316015304,2023,0.9768,0.024,0.821,0.155
https://openalex.org/W4316362579,2023,0.9961,0.02,0.79,0.191
https://openalex.org/W4316466468,2023,0.9517,0.023,0.899,0.078
https://openalex.org/W4316467721,2023,0.967,0.014,0.823,0.163
https://openalex.org/W4316669378,2023,0.8783,0.037,0.868,0.095
https://openalex.org/W4316927908,2023,-0.9404,0.153,0.745,0.102
https://openalex.org/W4317033110,2023,0.6494,0.059,0.858,0.083
https://openalex.org/W4317037892,2023,0.1027,0.066,0.848,0.086
https://openalex.org/W4317037952,2023,-0.5574,0.029,0.953,0.018
https://openalex.org/W4317209207,2023,0.8777,0.033,0.869,0.098
https://openalex.org/W4317214939,2023,0.5994,0.091,0.793,0.115
https://openalex.org/W4317372275,2023,0.9376,0.015,0.919,0.065
https://openalex.org/W4317612208,2023,0.9477,0.0,0.916,0.084
https://openalex.org/W4317623225,2023,0.9806,0.016,0.843,0.141
https://openalex.org/W4317735659,2023,0.1566,0.019,0.964,0.017
https://openalex.org/W4317857039,2023,0.9578,0.019,0.899,0.082
https://openalex.org/W4317884347,2023,0.3474,0.047,0.904,0.049
https://openalex.org/W4318066509,2023,0.9997,0.026,0.889,0.085
https://openalex.org/W4318243857,2023,0.967,0.011,0.868,0.12
https://openalex.org/W4318261654,2023,0.996,0.014,0.771,0.216
https://openalex.org/W4318464873,2023,0.9735,0.0,0.872,0.128
https://openalex.org/W4318465492,2023,0.9829,0.013,0.789,0.197
https://openalex.org/W4318474984,2023,0.9931,0.0,0.804,0.196
https://openalex.org/W4318480533,2023,0.9818,0.024,0.894,0.083
https://openalex.org/W4318481829,2023,-0.7346,0.083,0.842,0.074
https://openalex.org/W4318486637,2023,0.3506,0.042,0.9,0.058
https://openalex.org/W4318542673,2023,0.9753,0.017,0.861,0.122
https://openalex.org/W4318542804,2023,0.9998,0.03,0.767,0.203
https://openalex.org/W4318704229,2023,0.9081,0.016,0.912,0.072
https://openalex.org/W4318756208,2023,0.9662,0.0,0.88,0.12
https://openalex.org/W4318762417,2023,-0.2659,0.066,0.882,0.052
https://openalex.org/W4318769250,2023,0.9995,0.115,0.711,0.174
https://openalex.org/W4318777114,2023,0.7543,0.098,0.762,0.14
https://openalex.org/W4318831417,2023,0.9999,0.055,0.795,0.15
https://openalex.org/W4319031857,2023,0.9555,0.025,0.874,0.101
https://openalex.org/W4319066933,2023,0.9795,0.03,0.912,0.058
https://openalex.org/W4319158029,2023,0.9889,0.041,0.834,0.125
https://openalex.org/W4319298882,2023,0.9956,0.004,0.845,0.151
https://openalex.org/W4319318167,2023,0.9524,0.0,0.877,0.123
https://openalex.org/W4319319678,2023,0.9709,0.011,0.846,0.143
https://openalex.org/W4319321713,2023,0.9678,0.031,0.867,0.102
https://openalex.org/W4319338187,2023,0.9509,0.018,0.79,0.192
https://openalex.org/W4319346540,2023,0.7865,0.026,0.913,0.061
https://openalex.org/W4319440560,2023,0.723,0.035,0.898,0.067
https://openalex.org/W4319441361,2023,-0.4082,0.05,0.905,0.045
https://openalex.org/W4319459311,2023,0.7774,0.049,0.853,0.098
https://openalex.org/W4319598774,2023,0.7783,0.028,0.914,0.058
https://openalex.org/W4319601518,2023,0.9123,0.05,0.832,0.118
https://openalex.org/W4319723378,2023,-0.7717,0.059,0.89,0.051
https://openalex.org/W4319736368,2023,0.994,0.025,0.828,0.147
https://openalex.org/W4319742002,2023,0.8922,0.0,0.895,0.105
https://openalex.org/W4319750614,2023,0.9939,0.059,0.716,0.224
https://openalex.org/W4319780609,2023,-0.9873,0.087,0.831,0.082
https://openalex.org/W4319785691,2023,0.9538,0.022,0.85,0.128
https://openalex.org/W4319829457,2023,0.9136,0.053,0.793,0.154
https://openalex.org/W4319835709,2023,-0.5789,0.061,0.907,0.032
https://openalex.org/W4319962892,2023,0.9423,0.036,0.839,0.125
https://openalex.org/W4319982268,2023,0.9382,0.008,0.899,0.093
https://openalex.org/W4319998571,2023,0.8663,0.03,0.867,0.102
https://openalex.org/W4320007861,2023,0.9999,0.028,0.814,0.158
https://openalex.org/W4320011960,2023,0.9821,0.042,0.85,0.107
https://openalex.org/W4320035615,2023,0.82,0.069,0.824,0.107
https://openalex.org/W4320494732,2023,0.9743,0.093,0.81,0.097
https://openalex.org/W4320495690,2023,0.9851,0.041,0.763,0.196
https://openalex.org/W4320495847,2023,0.9909,0.013,0.779,0.208
https://openalex.org/W4320498300,2023,0.8271,0.064,0.83,0.106
https://openalex.org/W4320501690,2023,0.9949,0.011,0.817,0.171
https://openalex.org/W4320716344,2023,0.9998,0.065,0.822,0.113
https://openalex.org/W4320716663,2023,0.9816,0.048,0.826,0.126
https://openalex.org/W4320724298,2023,0.9403,0.02,0.896,0.084
https://openalex.org/W4320882968,2023,0.9799,0.065,0.79,0.145
https://openalex.org/W4320912591,2023,0.9794,0.022,0.847,0.131
https://openalex.org/W4320929262,2023,-0.8823,0.151,0.706,0.143
https://openalex.org/W4321003881,2023,0.9997,0.029,0.844,0.128
https://openalex.org/W4321015389,2023,0.9674,0.026,0.879,0.095
https://openalex.org/W4321073628,2023,0.9363,0.045,0.85,0.104
https://openalex.org/W4321088519,2023,0.9942,0.083,0.822,0.096
https://openalex.org/W4321094479,2023,0.988,0.026,0.842,0.132
https://openalex.org/W4321120706,2023,0.9996,0.029,0.88,0.091
https://openalex.org/W4321184930,2023,-0.9673,0.11,0.802,0.089
https://openalex.org/W4321225714,2023,0.0757,0.058,0.887,0.055
https://openalex.org/W4321329779,2023,-0.25,0.067,0.872,0.061
https://openalex.org/W4321351546,2023,0.8481,0.038,0.872,0.089
https://openalex.org/W4321366375,2023,0.9999,0.032,0.8,0.168
https://openalex.org/W4321369670,2023,0.6742,0.015,0.931,0.054
https://openalex.org/W4321370338,2023,0.9717,0.025,0.868,0.106
https://openalex.org/W4321458468,2023,0.1901,0.0,0.983,0.017
https://openalex.org/W4321481069,2023,0.1531,0.016,0.956,0.028
https://openalex.org/W4321495354,2023,0.9682,0.009,0.917,0.074
https://openalex.org/W4321502162,2023,0.8578,0.019,0.934,0.047
https://openalex.org/W4321503211,2023,0.9929,0.045,0.728,0.227
https://openalex.org/W4321610021,2023,-0.9688,0.103,0.854,0.042
https://openalex.org/W4321782810,2023,0.9904,0.01,0.799,0.191
https://openalex.org/W4321793019,2023,0.8761,0.046,0.872,0.082
https://openalex.org/W4321850693,2023,0.3818,0.016,0.951,0.033
https://openalex.org/W4321996100,2023,0.967,0.009,0.922,0.069
https://openalex.org/W4321996896,2023,0.9575,0.0,0.895,0.105
https://openalex.org/W4322004932,2023,0.431,0.044,0.896,0.061
https://openalex.org/W4322012531,2023,0.9723,0.0,0.836,0.164
https://openalex.org/W4322123836,2023,0.9851,0.004,0.837,0.158
https://openalex.org/W4322208641,2023,0.9081,0.011,0.944,0.046
https://openalex.org/W4322217167,2023,0.9244,0.027,0.898,0.076
https://openalex.org/W4322490148,2023,0.6369,0.043,0.902,0.056
https://openalex.org/W4322493009,2023,0.2815,0.051,0.886,0.063
https://openalex.org/W4322494076,2023,0.8968,0.0,0.921,0.079
https://openalex.org/W4322498158,2023,0.8225,0.0,0.918,0.082
https://openalex.org/W4322501447,2023,0.9894,0.005,0.817,0.177
https://openalex.org/W4322507010,2023,0.9982,0.049,0.857,0.094
https://openalex.org/W4322588563,2023,0.9794,0.022,0.861,0.117
https://openalex.org/W4322617140,2023,0.9998,0.052,0.823,0.125
https://openalex.org/W4322629684,2023,0.9933,0.012,0.74,0.249
https://openalex.org/W4322743011,2023,0.9783,0.0,0.889,0.111
https://openalex.org/W4322745047,2023,0.7096,0.03,0.913,0.057
https://openalex.org/W4322753603,2023,-0.91,0.074,0.89,0.036
https://openalex.org/W4322754647,2023,0.926,0.058,0.832,0.11
https://openalex.org/W4322755979,2023,0.9998,0.056,0.818,0.126
https://openalex.org/W4322758433,2023,0.9974,0.024,0.889,0.087
https://openalex.org/W4322769946,2023,-0.517,0.066,0.88,0.054
https://openalex.org/W4322769947,2023,-0.517,0.066,0.88,0.054
https://openalex.org/W4322773419,2023,0.9794,0.064,0.764,0.172
https://openalex.org/W4323031393,2023,0.9246,0.007,0.949,0.044
https://openalex.org/W4323042471,2023,0.9432,0.002,0.988,0.01
https://openalex.org/W4323046479,2023,0.9927,0.059,0.728,0.213
https://openalex.org/W4323066461,2023,0.8255,0.023,0.882,0.095
https://openalex.org/W4323075118,2023,-0.9711,0.125,0.811,0.064
https://openalex.org/W4323262311,2023,-0.9904,0.093,0.856,0.051
https://openalex.org/W4323275350,2023,0.9982,0.016,0.721,0.263
https://openalex.org/W4323295495,2023,-0.9965,0.076,0.863,0.06
