id,date,compound,neg,neu,pos
https://openalex.org/W2909252161,2019,0.9698,0.017,0.874,0.109
https://openalex.org/W2909453826,2019,0.8399,0.033,0.908,0.06
https://openalex.org/W2909558649,2019,0.9723,0.041,0.832,0.127
https://openalex.org/W2909571790,2019,0.2263,0.027,0.935,0.039
https://openalex.org/W2909681773,2019,0.9493,0.02,0.885,0.095
https://openalex.org/W2910348416,2019,0.8888,0.022,0.908,0.071
https://openalex.org/W2910386492,2019,0.8402,0.015,0.917,0.068
https://openalex.org/W2910536701,2019,0.9393,0.013,0.871,0.116
https://openalex.org/W2910675257,2019,0.9976,0.011,0.912,0.077
https://openalex.org/W2910806863,2019,0.9136,0.02,0.881,0.099
https://openalex.org/W2911201261,2019,-0.6351,0.054,0.913,0.034
https://openalex.org/W2911210908,2019,0.8674,0.016,0.918,0.066
https://openalex.org/W2911285287,2019,-0.4927,0.038,0.945,0.017
https://openalex.org/W2911563081,2019,0.8641,0.042,0.889,0.069
https://openalex.org/W2911582461,2019,0.9186,0.0,0.895,0.105
https://openalex.org/W2911646076,2019,0.4215,0.026,0.925,0.049
https://openalex.org/W2911779135,2019,-0.4124,0.087,0.844,0.069
https://openalex.org/W2911823226,2019,-0.2883,0.034,0.939,0.027
https://openalex.org/W2911960433,2019,0.9741,0.024,0.826,0.15
https://openalex.org/W2912048636,2019,0.9999,0.087,0.742,0.17
https://openalex.org/W2912065009,2019,0.8228,0.0,0.937,0.063
https://openalex.org/W2912128987,2019,-0.9922,0.252,0.652,0.096
https://openalex.org/W2912184078,2019,0.0279,0.082,0.835,0.083
https://openalex.org/W2912187221,2019,0.6705,0.058,0.861,0.08
https://openalex.org/W2912235651,2019,0.9422,0.0,0.915,0.085
https://openalex.org/W2912380532,2019,0.9842,0.007,0.918,0.075
https://openalex.org/W2912430883,2019,0.9493,0.013,0.873,0.114
https://openalex.org/W2912484596,2019,0.4939,0.0,0.979,0.021
https://openalex.org/W2912554647,2019,0.8555,0.043,0.878,0.08
https://openalex.org/W2912561219,2019,0.9578,0.012,0.851,0.137
https://openalex.org/W2912650600,2019,-0.9433,0.101,0.848,0.051
https://openalex.org/W2912683377,2019,-0.5423,0.039,0.931,0.029
https://openalex.org/W2912728110,2019,0.9042,0.038,0.884,0.078
https://openalex.org/W2912777860,2019,0.4019,0.0,0.96,0.04
https://openalex.org/W2912842935,2019,0.9993,0.065,0.823,0.112
https://openalex.org/W2912843884,2019,0.9741,0.065,0.715,0.22
https://openalex.org/W2912854252,2019,0.926,0.069,0.796,0.134
https://openalex.org/W2912950892,2019,0.7845,0.032,0.893,0.074
https://openalex.org/W2913023435,2019,0.9501,0.0,0.885,0.115
https://openalex.org/W2913080539,2019,0.9726,0.051,0.813,0.135
https://openalex.org/W2913113836,2019,0.2023,0.092,0.813,0.095
https://openalex.org/W2913308867,2019,0.891,0.033,0.898,0.069
https://openalex.org/W2913330086,2019,0.6601,0.026,0.913,0.062
https://openalex.org/W2913331926,2019,-0.578,0.057,0.901,0.042
https://openalex.org/W2913374177,2019,0.886,0.043,0.845,0.113
https://openalex.org/W2913495001,2019,0.6808,0.021,0.918,0.06
https://openalex.org/W2913553713,2019,-0.9812,0.115,0.845,0.04
https://openalex.org/W2913558234,2019,0.875,0.023,0.881,0.096
https://openalex.org/W2913588699,2019,0.25,0.079,0.829,0.093
https://openalex.org/W2913595481,2019,-0.3071,0.04,0.932,0.028
https://openalex.org/W2913614306,2019,0.9337,0.063,0.797,0.14
https://openalex.org/W2913743176,2019,0.9997,0.07,0.819,0.112
https://openalex.org/W2913747711,2019,0.9927,0.049,0.857,0.095
https://openalex.org/W2913748097,2019,0.9792,0.03,0.889,0.082
https://openalex.org/W2913836066,2019,0.993,0.083,0.638,0.279
https://openalex.org/W2913846670,2019,-0.5859,0.071,0.865,0.064
https://openalex.org/W2913869120,2019,-0.9738,0.172,0.778,0.05
https://openalex.org/W2913882232,2019,0.0772,0.045,0.909,0.046
https://openalex.org/W2913931476,2019,0.872,0.016,0.896,0.088
https://openalex.org/W2913947934,2019,-0.1779,0.053,0.901,0.045
